_id,"T players","CT Players",Map,"T Steamids","CT steamids"
25-1-2021_9-51-2,5,2,jb_chicken_island_b2,"STEAM_0:0:180231922 STEAM_0:1:427402928 STEAM_0:0:570702343 STEAM_0:1:531828146 STEAM_0:0:460199882","STEAM_0:1:555144542 STEAM_0:0:433406212"
25-1-2021_9-56-2,6,2,jb_chicken_island_b2,"STEAM_0:0:180231922 STEAM_0:1:427402928 STEAM_0:0:122395788 STEAM_0:0:570702343 STEAM_0:1:531828146 STEAM_0:0:460199882","STEAM_0:0:433406212 STEAM_0:1:555144542"
25-1-2021_10-1-2,4,2,jb_chicken_island_b2,"STEAM_0:0:180231922 STEAM_0:0:570702343 STEAM_0:0:460199882 STEAM_0:1:531828146","STEAM_0:0:433406212 STEAM_0:1:555144542"
25-1-2021_10-6-2,4,2,jb_chicken_island_b2,"STEAM_0:0:180231922 STEAM_0:0:570702343 STEAM_0:1:531828146 STEAM_0:0:460199882","STEAM_0:0:433406212 STEAM_0:1:555144542"
25-1-2021_10-11-2,4,1,jb_chicken_island_b2,"STEAM_0:0:180231922 STEAM_0:1:555144542 STEAM_0:0:570702343 STEAM_0:0:460199882","STEAM_0:0:433406212"
25-1-2021_10-16-2,3,1,jb_chicken_island_b2,"STEAM_0:1:555144542 STEAM_0:0:570702343 STEAM_0:0:460199882","STEAM_0:0:433406212"
25-1-2021_10-21-2,4,2,jb_chicken_island_b2,"STEAM_0:0:570702343 STEAM_0:0:460199882 STEAM_0:0:167748498 STEAM_0:0:525411123","STEAM_0:0:433406212 STEAM_0:1:555144542"
25-1-2021_10-26-2,5,2,jb_chicken_island_b2,"STEAM_0:0:570702343 STEAM_0:0:460199882 STEAM_0:0:167748498 STEAM_0:1:106519022 STEAM_0:0:525411123","STEAM_0:0:433406212 STEAM_0:1:555144542"
25-1-2021_10-31-2,5,2,jb_peanut_tango_v3,"STEAM_0:1:555144542 STEAM_0:1:106519022 STEAM_0:1:117564385 STEAM_0:0:525411123 STEAM_0:0:460199882","STEAM_0:0:167748498 STEAM_0:0:570702343"
25-1-2021_10-36-2,4,2,jb_peanut_tango_v3,"STEAM_0:1:555144542 STEAM_0:1:106519022 STEAM_0:1:117564385 STEAM_0:0:460199882","STEAM_0:0:167748498 STEAM_0:0:570702343"
25-1-2021_10-41-2,5,1,jb_peanut_tango_v3,"STEAM_0:1:555144542 STEAM_0:1:117564385 STEAM_0:1:106519022 STEAM_0:0:570702343 STEAM_0:0:460199882","STEAM_0:0:167748498"
25-1-2021_10-46-2,5,2,jb_peanut_tango_v3,"STEAM_0:1:555144542 STEAM_0:1:117564385 STEAM_0:1:106519022 STEAM_0:0:122395788 STEAM_0:1:113270576","STEAM_0:0:167748498 STEAM_0:0:88404445"
25-1-2021_10-51-2,6,2,jb_peanut_tango_v3,"STEAM_0:1:117564385 STEAM_0:1:106519022 STEAM_0:1:501036899 STEAM_0:0:122395788 STEAM_0:1:113270576 STEAM_0:0:151280676","STEAM_0:0:167748498 STEAM_0:0:88404445"
25-1-2021_10-56-2,3,2,jb_peanut_tango_v3,"STEAM_0:0:151280676 STEAM_0:1:501036899 STEAM_0:1:113270576","STEAM_0:0:167748498 STEAM_0:0:88404445"
25-1-2021_11-1-2,6,3,jb_peanut_tango_v3,"STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:0:142882459 STEAM_0:1:501036899 STEAM_0:0:481275518 STEAM_0:1:113270576","STEAM_0:0:167748498 STEAM_0:0:88404445 STEAM_0:1:106519022"
25-1-2021_11-6-2,7,2,jb_peanut_tango_v3,"STEAM_0:0:88404445 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:113270576 STEAM_0:0:142882459 STEAM_0:1:501036899 STEAM_0:0:481275518","STEAM_0:0:167748498 STEAM_0:1:106519022"
25-1-2021_11-11-2,10,2,jb_peanut_tango_v3,"STEAM_0:0:88404445 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:113270576 STEAM_0:1:124882951 STEAM_0:0:142882459 STEAM_0:1:501036899 STEAM_0:0:481275518 STEAM_0:0:122395788 STEAM_0:0:139817042","STEAM_0:0:167748498 STEAM_0:1:106519022"
